RowLabel,Warna,KodePabrik,JenisForming,Type_OP100,Type_OP105,Type_OP107,Type_OP110,Type_OP115,Type_OP120,Type_OP166,RowGroup,ISI,IsManual,IsAksesoris,ManualTargetColumn,OnlyFromOP107
CE7#W (P1) HPC,W,1,HP,CE7,CE7,CE7,CE7,CE7,CE7,CE7,TYPE C,36,FALSE,FALSE,,FALSE
CE7#W (P2) HPC,W,2,HP,CE7,CE7,CE7,CE7,CE7,CE7,CE7,TYPE C,36,FALSE,FALSE,,FALSE
CE7#W (P2) BC,W,2,BC,CE7,CE7,CE7,CE7,CE7,CE7,CE7,TYPE C,36,FALSE,FALSE,,FALSE
CE7#PIV,PIV,1,HP,CE7,CE7,CE7,CE7,CE7,CE7,CE7,TYPE C,36,FALSE,FALSE,,FALSE
CE7#HBE,HBE,1,HP,CE7,CE7,CE7,CE7,CE7,CE7,CE7,TYPE C,36,FALSE,FALSE,,FALSE
CE7#B,B,1,HP,CE7,CE7,CE7,CE7,CE7,CE7,CE7,TYPE C,36,FALSE,FALSE,,FALSE
CE7#PB,PB,1,HP,CE7,CE7,CE7,CE7,CE7,CE7,CE7,TYPE C,36,FALSE,FALSE,,FALSE
CE7#DR,DR,1,HP,CE7,CE7,CE7,CE7,CE7,CE7,CE7,TYPE C,36,FALSE,FALSE,,FALSE
CE7#HF,HF,1,HP,CE7,CE7,CE7,CE7,CE7,CE7,CE7,TYPE C,36,FALSE,FALSE,,FALSE
CE7#PP,PP,1,HP,CE7,CE7,CE7,CE7,CE7,CE7,CE7,TYPE C,36,FALSE,FALSE,,FALSE
CE7#MA,MA,1,HP,CE7,CE7,CE7,CE7,CE7,CE7,CE7,TYPE C,36,FALSE,FALSE,,FALSE
CE6,W,2,BC,CE6,CE6,CE6,CE6,CE6,CE6,CE6,TYPE C,18,FALSE,FALSE,,FALSE
CE9,W,2,BC,CE9,CE9,CE9,CE9,CE9,CE9,CE9,TYPE C,18,FALSE,FALSE,,FALSE
CW52J,W,2,BC,CW52J,CW52J,CW52J,CW52J,CW52J,CW52J,CW52J,TYPE C,18,FALSE,FALSE,,FALSE
CW53J (P1),W,1,BC,CW53J,CW53J,CW53J,CW53J,CW53J,CW53J,CW53J,TYPE C,18,FALSE,FALSE,,FALSE
CW53J (P2),W,2,BC,CW53J,CW53J,CW53J,CW53J,CW53J,CW53J,CW53J,TYPE C,18,FALSE,FALSE,,FALSE
CW53J (HPC),W,1,HP,CW53J,CW53J,CW53J,CW53J,CW53J,CW53J,CW53J,TYPE C,18,FALSE,FALSE,,FALSE
CW420J (P2),W,2,BC,CW420J,CW420J,CW420J,CW420J,CW420J,CW420J,CW420J,TYPE C,18,FALSE,FALSE,,FALSE
CW420J (Mesin),W,2,MC,CW420J,CW420J,CW420J,CW420J,CW420J,CW420J,CW420J,TYPE C,18,FALSE,FALSE,,FALSE
CW421J,W,1,HP,CW421J,CW421J,CW421J,CW421J,CW421J,CW421J,CW421J,TYPE C,18,FALSE,FALSE,,FALSE
CW633J,W,1,HP,CW633J,CW633J,CW633J,CW633J,CW633J,CW633J,CW633J,TYPE C,18,FALSE,FALSE,,FALSE
LW211CJ,W,2,BC,LW211CJ,LW211CJ,LW211CJ,LW211CJ,LW211CJ,LW211CJ,LW211CJ,TYPE L,48,FALSE,FALSE,,FALSE
LW230J,W,2,BC,LW230J,LW230J,LW230J,LW230J,LW230J,LW230J,LW230J,TYPE L,28,FALSE,FALSE,,FALSE
